Location,Cross_Street,Latitude,Longitude,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Weapon_Used_Code,Weapon_Description,Status,Status_Description,Year_Reported,Year_Occurred,Month_Reported,Month_Occurred,Day_Reported,Day_Occurred
3800    OVERLAND                     AV,,34.0187,-118.4069,1030.0,14.0,Pacific,1406.0,1.0,0344,66.0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,10,6
HOLLYWOOD,VINE,34.1016,-118.3267,1730.0,6.0,Hollywood,646.0,1.0,0400 0416 1206 1822,31.0,M,H,101.0,STREET,304.0,CLUB/BAT,IC,Invest Cont,2020,2020,1,1,31,31
9600    HEATHER                      RD,,34.1032,-118.4058,2230.0,8.0,West LA,809.0,1.0,2000 1814 0416 0408 0432 0913 1402,33.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2020,2020,9,9,5,4
ROSELAKE,COURT,34.0677,-118.2731,2200.0,2.0,Rampart,235.0,1.0,1300 1822 0329 0344,21.0,F,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,17,17
1100 N  SYCAMORE                     AV,,34.0907,-118.3428,1200.0,6.0,Hollywood,663.0,1.0,Unknown,0.0,,Unknown,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2021,2020,1,12,20,2
RIO VISTA,8TH                          ST,34.029,-118.2216,2020.0,4.0,Hollenbeck,491.0,1.0,0344 1302,40.0,M,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,3,2
IMOGEN                       AV,BELLEVUE                     AV,34.0806,-118.2843,2300.0,2.0,Rampart,204.0,2.0,1300 0329,38.0,M,F,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,4,3
11900    MAGNOLIA                     BL,,34.1649,-118.3926,2200.0,15.0,N Hollywood,1545.0,1.0,Unknown,0.0,,Unknown,707.0,GARAGE/CARPORT,0.0,No Weapon,IC,Invest Cont,2020,2020,12,11,1,30
13700    OXNARD                       ST,,34.1794,-118.4319,657.0,9.0,Van Nuys,946.0,1.0,0325,0.0,Unknown,X,401.0,MINI-MART,0.0,No Weapon,AO,Adult Other,2020,2020,7,7,25,25
AVENUE 51,ALMADEN,34.1245,-118.2038,1700.0,11.0,Northeast,1117.0,1.0,0344 1402,0.0,Unknown,X,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,31,30
9100 S  MANHATTAN                    PL,,33.9536,-118.3102,1500.0,12.0,77th Street,1273.0,2.0,1814 2000 0913 0319 0416,27.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,10,10,4,4
MELROSE,CAHUENGA,34.0835,-118.3288,410.0,6.0,Hollywood,676.0,1.0,0400 0416 2002 2000 1814 0913,29.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,1,1,5,5
ROSE                         AV,OCEAN FRONT                  WK,33.9949,-118.4801,1900.0,14.0,Pacific,1412.0,1.0,0416 0421 2004 1218 0913 0445 0429,57.0,M,W,117.0,BEACH,304.0,CLUB/BAT,IC,Invest Cont,2020,2020,11,11,11,10
ARVIA,SAN FERNANDO,34.0962,-118.2293,1545.0,11.0,Northeast,1147.0,1.0,0344 0325,28.0,F,O,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,3,2,9,17
11500    SANTA MONICA                 BL,,34.0456,-118.4519,925.0,8.0,West LA,853.0,2.0,0329,46.0,M,W,717.0,HEALTH SPA/GYM,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,18,18
600 W  SEPULVEDA                    ST,,33.7451,-118.2901,2055.0,5.0,Harbor,555.0,2.0,0329 1813 2000 2002,34.0,F,H,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,5,5
1500 W  MARTIN LUTHER KING JR        BL,,34.0109,-118.3112,4.0,3.0,Southwest,395.0,2.0,0329 1300,19.0,Unknown,X,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,20,18
MEMORY PARK                  AV,COLUMBUS                     ST,34.2337,-118.463,1630.0,19.0,Mission,1972.0,2.0,0906 0371 1100 1407,44.0,M,X,103.0,ALLEY,102.0,HAND GUN,IC,Invest Cont,2020,2020,5,5,22,22
7600 S  FIGUEROA                     ST,,33.9708,-118.2827,1900.0,12.0,77th Street,1257.0,2.0,2000 1814 0336 1202 2021,65.0,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2020,2020,1,1,27,27
17600    WEDDINGTON                   ST,,34.1668,-118.5164,1230.0,10.0,West Valley,1067.0,2.0,1822 0935 0923,40.0,F,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,6,5
8800    TAMPA                        AV,,34.2299,-118.5536,1635.0,17.0,Devonshire,1793.0,2.0,0416 0417 0444 1300 1259 1251 1822,16.0,M,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,3,3,27,27
10200 S  WESTERN                      AV,,33.9447,-118.309,930.0,12.0,77th Street,1283.0,1.0,0913 0562 0416 0445 0421,44.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,9,9,19,19
7000    TROLLEYWAY                   ST,,33.9557,-118.4491,845.0,14.0,Pacific,1471.0,2.0,0329 1300 1218 2004,48.0,M,W,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,21,19
5200    BARKER                       DR,,34.1262,-118.1988,1800.0,11.0,Northeast,1126.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,8,7,2,31
2600    MERCED                       ST,,34.0898,-118.2268,2200.0,11.0,Northeast,1177.0,2.0,0329,24.0,F,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,1,1,17,16
2900    9TH                          AV,,34.0277,-118.3272,2200.0,3.0,Southwest,335.0,2.0,2000 1813 0913 0416 0445,58.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,2020,2020,9,9,21,20
6800    AGNES                        AV,,34.194,-118.3954,2330.0,15.0,N Hollywood,1514.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,15,14
2500 S  LONGWOOD                     AV,,34.0334,-118.3523,1700.0,3.0,Southwest,303.0,2.0,0329,27.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,16,16
6300    VAN NUYS                     BL,,34.1846,-118.4488,304.0,9.0,Van Nuys,935.0,1.0,1402,61.0,M,W,203.0,OTHER BUSINESS,0.0,No Weapon,IC,Invest Cont,2020,2020,11,10,1,15
900 N  BROADWAY,,34.0615,-118.2412,1220.0,1.0,Central,111.0,1.0,1609 0344 1307 0329 1822,33.0,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,15,15
33RD                         ST,HOOPER                       AV,34.0137,-118.2522,1215.0,13.0,Newton,1325.0,1.0,1300 0416 0371 0906 1822,35.0,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,2020,2020,6,6,16,16
300 N  BOYLSTON                     ST,,34.0642,-118.257,430.0,2.0,Rampart,238.0,1.0,0314 1822 1605 1300 0342 0361,31.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,1,1
2600 E  CESAR E CHAVEZ               AV,,34.0457,-118.2053,30.0,4.0,Hollenbeck,466.0,1.0,1501 1602,0.0,Unknown,X,203.0,OTHER BUSINESS,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,18,18
HELIOTROPE,SANTA MONICA,34.0909,-118.295,1945.0,11.0,Northeast,1163.0,2.0,0400 0913 1805 0416 0446 0202,26.0,F,O,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,12,12,8,7
11600    WILSHIRE                     BL,,34.0508,-118.4592,229.0,8.0,West LA,842.0,1.0,1420 0104 0325 1402 2028 2004,0.0,Unknown,X,401.0,MINI-MART,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,12,12
4000 W  23RD                         ST,,34.0362,-118.3284,1500.0,7.0,Wilshire,788.0,2.0,0344,80.0,M,H,203.0,OTHER BUSINESS,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,4,3
300 S  SAN PEDRO                    ST,,34.0471,-118.2426,1700.0,1.0,Central,138.0,2.0,0416 0913,31.0,M,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,8,8,4,1
600 W  92ND                         ST,,33.9528,-118.2832,1208.0,18.0,Southeast,1801.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,16,16
3800    MCLAUGHLIN                   AV,,34.0086,-118.4246,2000.0,14.0,Pacific,1449.0,1.0,1606 0344,31.0,F,W,123.0,PARKING UNDERGROUND/BUILDING,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,3,2
700    ROBINSON                     ST,,34.0804,-118.2791,2300.0,2.0,Rampart,205.0,1.0,Unknown,0.0,,Unknown,104.0,DRIVEWAY,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,12,4
3RD,GERTRUDE,34.0445,-118.2173,1713.0,4.0,Hollenbeck,463.0,2.0,1300 1307,0.0,Unknown,X,101.0,STREET,0.0,No Weapon,AA,Adult Arrest,2020,2020,11,11,23,23
EXPOSITION,CARMELINA,34.0308,-118.4559,910.0,8.0,West LA,881.0,2.0,0416 1218 2004 1822,33.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,10,10,2,2
SEPULVEDA,LASSEN,34.25,-118.4675,1305.0,19.0,Mission,1961.0,2.0,0329,48.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,No Weapon,IC,Invest Cont,2020,2020,9,9,16,16
3600    WILLOW CREST                 AV,,34.1354,-118.3697,406.0,15.0,N Hollywood,1599.0,1.0,1601 0344,27.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,11,6
4400    WOODLEY                      AV,,34.1413,-118.506,1345.0,10.0,West Valley,1097.0,2.0,1822 0935 0928 0929,78.0,M,W,602.0,BANK,0.0,No Weapon,IC,Invest Cont,2020,2020,12,11,10,13
9200    LAUREL CANYON                BL,,34.237,-118.4116,1850.0,16.0,Foothill,1661.0,2.0,2000 1813 0913 0444 0429 0448,28.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,7,7,13,12
11300    MORRISON                     ST,,34.1608,-118.3774,2000.0,15.0,N Hollywood,1555.0,1.0,1302 1605 0344,49.0,M,B,123.0,PARKING UNDERGROUND/BUILDING,0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,25,24
7TH                          ST,MESA,33.7379,-118.2857,1930.0,5.0,Harbor,564.0,1.0,0377 0344 0416 0342 0446 0417 0429,57.0,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,9,9,30,29
6200    TOPANGA CANYON               BL,,34.1829,-118.6059,1630.0,21.0,Topanga,2156.0,1.0,1606 0344 1202,62.0,M,W,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,3,2,1,29
10100 N  PETIT                        AV,,34.2538,-118.4981,1800.0,17.0,Devonshire,1757.0,2.0,2004 2038 1218 2000 1501 0913 1814,58.0,F,W,102.0,SIDEWALK,0.0,No Weapon,IC,Invest Cont,2020,2020,10,10,31,31
4400    PORTOLA                      AV,,34.097,-118.1705,1300.0,4.0,Hollenbeck,418.0,1.0,0344,42.0,M,O,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,12,12
2500 W  TEMPLE                       ST,,34.0726,-118.2749,1000.0,2.0,Rampart,233.0,2.0,2004 1236 0444 1822 0601,47.0,F,H,222.0,LAUNDROMAT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,3,3,30,30
3200 W  SLAUSON                      AV,,33.989,-118.329,1600.0,12.0,77th Street,1232.0,2.0,0216 0329 1822,0.0,Unknown,X,248.0,CELL PHONE STORE,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,8,8
6200    BECK                         AV,,34.1831,-118.3833,2230.0,15.0,N Hollywood,1526.0,1.0,0913 2002 0429 0408 0451 2000 1814 0400 0416 0444,32.0,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,3,3,23,23
1800 S  SEPULVEDA                    BL,,34.0459,-118.4428,1045.0,8.0,West LA,835.0,2.0,0344,0.0,Unknown,X,203.0,OTHER BUSINESS,0.0,No Weapon,IC,Invest Cont,2020,2020,6,3,10,18
7100    MILWOOD                      AV,,34.1992,-118.5943,2130.0,21.0,Topanga,2146.0,2.0,2038,61.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,AO,Adult Other,2020,2020,10,10,5,5
1200 S  KINGSLEY                     DR,,34.0475,-118.3031,100.0,20.0,Olympic,2064.0,2.0,2000 2038 1814 0913,38.0,F,H,101.0,STREET,0.0,No Weapon,AA,Adult Arrest,2020,2020,11,11,4,4
200 S  BURLINGTON                   AV,,34.0626,-118.2681,1500.0,2.0,Rampart,236.0,2.0,0913 0361 2038,41.0,F,H,121.0,YARD (RESIDENTIAL/BUSINESS),0.0,No Weapon,AO,Adult Other,2020,2020,8,8,8,8
4000    LINCOLN                      BL,,33.99,-118.4474,2130.0,14.0,Pacific,1444.0,1.0,0411 2001 1822 0334 2004,28.0,M,B,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,2020,2020,12,12,3,3
11400    CHENAULT                     ST,,34.0621,-118.4596,1200.0,8.0,West LA,814.0,1.0,1202 0930 1817,79.0,F,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,4,1,21,1
15900    YARNELL                      ST,,34.3241,-118.4795,2200.0,19.0,Mission,1901.0,2.0,0329,57.0,F,W,102.0,SIDEWALK,0.0,No Weapon,IC,Invest Cont,2020,2020,4,4,21,20
1200    MARINE                       AV,,33.7867,-118.2643,2000.0,5.0,Harbor,516.0,1.0,1300 0344 0329 1602 0358,49.0,F,H,707.0,GARAGE/CARPORT,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,4,3
16000    KNAPP                        ST,,34.2383,-118.4807,800.0,17.0,Devonshire,1779.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,11,10,4,4
15300    VENTURA                      BL,,34.1564,-118.463,1945.0,9.0,Van Nuys,971.0,1.0,1822 1609 0344,27.0,M,B,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,27,27
2300 W  SLAUSON                      AV,,33.9891,-118.3186,1900.0,12.0,77th Street,1232.0,2.0,0913 0416 0446 0417 0429,25.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,1,1,28,28
AVENUE 20,PASADENA,34.0676,-118.2202,1330.0,4.0,Hollenbeck,421.0,2.0,0913 2000 0429 2004 1243 1813,24.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,7,7,13,13
11300    BLUCHER                      AV,,34.2754,-118.4719,2025.0,17.0,Devonshire,1718.0,2.0,1813 0444 0913 2000 1300,26.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,11,11,7,7
10300    MASON                        AV,,34.2573,-118.5798,2010.0,17.0,Devonshire,1723.0,1.0,0344 1402 0378 0216 0209 1300 0334 0449 1822 0337,0.0,Unknown,X,402.0,MARKET,102.0,HAND GUN,AA,Adult Arrest,2020,2020,12,12,1,1
2600    PASADENA                     AV,,34.0765,-118.2157,1100.0,4.0,Hollenbeck,412.0,1.0,2000 1813 1243 0416 0408 0913,25.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,8,8,26,26
120TH                        ST,VERMONT                      AV,33.9237,-118.2915,225.0,18.0,Southeast,1831.0,2.0,0329 1822 1307,0.0,Unknown,X,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,4,4
7900    LA TUNA CANYON               RD,,34.2337,-118.3039,1130.0,16.0,Foothill,1679.0,1.0,1609 1307 0344,48.0,F,W,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,6,6,7,7
6800    BAIRD                        AV,,34.1939,-118.5373,800.0,10.0,West Valley,1024.0,1.0,1202 1822 0344,60.0,F,B,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,26,22
10900    NATIONAL                     BL,,34.0297,-118.4227,100.0,14.0,Pacific,1428.0,1.0,0344 1402 1607,48.0,F,B,707.0,GARAGE/CARPORT,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,13,13
1500    SCHRADER                     BL,,34.098,-118.3324,1805.0,6.0,Hollywood,646.0,1.0,0400 0431 1822,49.0,M,B,102.0,SIDEWALK,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,2020,2020,1,1,21,21
54TH                         ST,AVALON                       BL,33.9933,-118.2652,1730.0,13.0,Newton,1373.0,2.0,0906 1313 0446 0416 1822 0371 0342,20.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,4,4,15,15
W  SUNSET                       BL,PARK                         AV,34.078,-118.2612,2200.0,2.0,Rampart,217.0,1.0,0344 1307 1609 0329,36.0,M,W,101.0,STREET,0.0,No Weapon,AA,Adult Arrest,2020,2020,3,3,6,5
15300    STONEWOOD                    TR,,34.1343,-118.4679,1200.0,9.0,Van Nuys,991.0,1.0,0344 1822,42.0,M,W,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2021,2020,1,11,26,5
7000    LEXINGTON                    AV,,34.0926,-118.3416,2345.0,6.0,Hollywood,663.0,1.0,1822 1601 1605 1606,30.0,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,12,12,21,20
900    TULAROSA                     DR,,34.0835,-118.2799,2300.0,2.0,Rampart,204.0,1.0,0344 0397,30.0,F,W,707.0,GARAGE/CARPORT,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,11,10
22900 S  WESTERN                      AV,,33.818,-118.3089,1109.0,5.0,Harbor,507.0,1.0,0104 0325 1309,0.0,Unknown,X,403.0,DRUG STORE,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,7,7
1800 N  GRAMERCY                     PL,,34.1036,-118.3123,1830.0,6.0,Hollywood,638.0,1.0,0344 1822 1605,0.0,Unknown,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,2020,2020,12,12,23,22
HYDE PARK                    BL,BRYNHURST                    AV,33.9806,-118.3338,2341.0,12.0,77th Street,1241.0,2.0,0329,41.0,F,I,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,26,2
20300    MOBILE                       ST,,34.1894,-118.5781,2345.0,21.0,Topanga,2157.0,2.0,0419 0416,56.0,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,8,8,10,9
5400    HERMITAGE                    AV,,34.1687,-118.4003,1545.0,15.0,N Hollywood,1543.0,1.0,Unknown,0.0,,Unknown,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,12,11,6,29
3700    WILSHIRE                     BL,,34.0636,-118.3047,1005.0,20.0,Olympic,2024.0,2.0,1822 0329 0432,0.0,Unknown,X,602.0,BANK,0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,22,22
4900    TOPANGA CANYON               BL,,34.1569,-118.6058,2000.0,21.0,Topanga,2187.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,13,12
29TH,E  HOBART                       BL,34.0291,-118.3078,1700.0,3.0,Southwest,326.0,1.0,1612 0329 0344 1300 1402,19.0,Unknown,X,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,12,11
1800    RODNEY                       DR,,34.1036,-118.2896,1800.0,11.0,Northeast,1142.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,3,2
5400 W  SUNSET                       BL,,34.1,-118.3113,1405.0,6.0,Hollywood,648.0,2.0,0444 0429 1822,56.0,F,O,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,3,3,20,20
2000    ALBERTA                      AV,,33.9863,-118.469,500.0,14.0,Pacific,1431.0,1.0,1501,36.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,8,6
600    SANFORD                      AV,,33.7777,-118.2505,2330.0,5.0,Harbor,529.0,1.0,0345 0344 0329 1602,0.0,Unknown,X,203.0,OTHER BUSINESS,0.0,No Weapon,AA,Adult Arrest,2020,2020,2,2,6,5
9100    AQUEDUCT                     AV,,34.2356,-118.4741,230.0,17.0,Devonshire,1779.0,1.0,1300 0385 0344,38.0,M,H,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,12,12,3,2
11600    TEXAS                        AV,,34.0483,-118.4571,1915.0,8.0,West LA,842.0,2.0,2038,29.0,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,AO,Adult Other,2020,2020,1,1,7,7
200 E  62ND                         ST,,33.9833,-118.2718,2100.0,13.0,Newton,1383.0,1.0,0913 0432,39.0,F,B,501.0,SINGLE FAMILY DWELLING,307.0,VEHICLE,AA,Adult Arrest,2020,2020,9,9,23,23
2100 N  BEACHWOOD                    DR,,34.1088,-118.3215,2020.0,6.0,Hollywood,628.0,1.0,0344 1822 2004,50.0,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,7,7,22,20
9500    GRAPE                        ST,,33.9506,-118.2363,1700.0,18.0,Southeast,1827.0,2.0,0100 0928 0930 0929 0913,28.0,F,B,501.0,SINGLE FAMILY DWELLING,0.0,No Weapon,IC,Invest Cont,2020,2020,5,4,12,26
VANOWEN,GAVIOTA,34.1939,-118.4815,1600.0,10.0,West Valley,1039.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,AA,Adult Arrest,2020,2020,6,6,4,3
5600    COLFAX                       AV,,34.1826,-118.3916,2203.0,15.0,N Hollywood,1525.0,2.0,0377,36.0,M,W,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,11,11,9,1
200 S  SANTA FE                     AV,,34.0472,-118.2326,1328.0,1.0,Central,139.0,1.0,0344 1822,32.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,No Weapon,IC,Invest Cont,2020,2020,4,3,17,16
12500    ROSCOE                       BL,,34.2217,-118.4053,20.0,16.0,Foothill,1681.0,2.0,1300 0913 0329 1609 1307,46.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,No Weapon,AO,Adult Other,2020,2020,3,3,27,27
300 E  52ND                         ST,,33.9981,-118.2697,1605.0,13.0,Newton,1362.0,2.0,0444 0416 0913,41.0,F,O,504.0,OTHER RESIDENCE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,2,2,22,22
800 N  ALAMEDA                      ST,,34.0563,-118.2374,1320.0,1.0,Central,119.0,2.0,0416 1822 0910 1202,73.0,M,H,834.0,LA UNION STATION (NOT LINE SPECIFIC),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,2020,2020,1,1,29,28
7200    WOODMAN                      AV,,34.2012,-118.4313,2200.0,9.0,Van Nuys,909.0,1.0,1608 0358 0344,25.0,F,H,108.0,PARKING LOT,0.0,No Weapon,IC,Invest Cont,2020,2020,2,2,23,21
MASON                        AV,DEVONSHIRE                   ST,34.2573,-118.5798,1700.0,17.0,Devonshire,1723.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,3,3,4,3
400    WASHINGTON                   BL,,33.9811,-118.4635,1600.0,14.0,Pacific,1441.0,1.0,0344,30.0,F,W,707.0,GARAGE/CARPORT,0.0,No Weapon,IC,Invest Cont,2020,2020,8,7,12,5
1400    VALENCIA                     ST,,34.0421,-118.2759,2100.0,2.0,Rampart,299.0,1.0,Unknown,0.0,,Unknown,101.0,STREET,0.0,No Weapon,IC,Invest Cont,2020,2020,5,4,1,30
6500    VAN NUYS                     BL,,34.1887,-118.4487,2100.0,9.0,Van Nuys,926.0,2.0,0329 1300 0417 2004,38.0,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2020,2020,9,9,21,20
1800 S  LA CIENEGA                   BL,,34.0425,-118.3818,2240.0,8.0,West LA,889.0,1.0,1309 1420 1822 1607 0325 0216 0209,47.0,M,H,402.0,MARKET,0.0,No Weapon,IC,Invest Cont,2020,2020,5,5,31,30
2100    OAK GLEN                     PL,,34.0937,-118.2547,1100.0,11.0,Northeast,1173.0,2.0,0400 0419 0552 0416 0913,16.0,F,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,2021,2020,1,12,14,21
