,Crime_Category
13414,Property Crimes
7458,Property Crimes
380,Property Crimes
1187,Property Crimes
8270,Violent Crimes
15289,Property Crimes
13702,Crimes against Public Order
18044,Fraud and White-Collar Crimes
13099,Property Crimes
5069,Property Crimes
16038,Property Crimes
10294,Property Crimes
15712,Violent Crimes
10494,Property Crimes
15118,Violent Crimes
17361,Property Crimes
9946,Property Crimes
9767,Property Crimes
12891,Property Crimes
1820,Violent Crimes
16535,Property Crimes
3975,Fraud and White-Collar Crimes
11221,Fraud and White-Collar Crimes
19073,Violent Crimes
14637,Property Crimes
10232,Crimes against Persons
8586,Property Crimes
16942,Property Crimes
19982,Violent Crimes
1053,Property Crimes
11204,Property Crimes
18616,Property Crimes
17772,Crimes against Public Order
18228,Property Crimes
17899,Property Crimes
18154,Property Crimes
9395,Fraud and White-Collar Crimes
14545,Property Crimes
14760,Property Crimes
18544,Property Crimes
976,Property Crimes
4975,Crimes against Public Order
13724,Property Crimes
10402,Property Crimes
9709,Property Crimes
6514,Violent Crimes
6304,Property Crimes
12448,Property Crimes
14090,Property Crimes
2858,Violent Crimes
7650,Property Crimes
5076,Property Crimes
2106,Property Crimes
9516,Property Crimes
8996,Violent Crimes
5609,Violent Crimes
16831,Violent Crimes
16294,Violent Crimes
5144,Violent Crimes
15871,Fraud and White-Collar Crimes
13625,Property Crimes
4199,Crimes against Public Order
11988,Fraud and White-Collar Crimes
1768,Property Crimes
9540,Property Crimes
15286,Property Crimes
7027,Property Crimes
15097,Violent Crimes
15253,Crimes against Public Order
18093,Crimes against Public Order
4357,Property Crimes
9379,Property Crimes
19204,Property Crimes
494,Crimes against Public Order
100,Property Crimes
10160,Violent Crimes
11919,Property Crimes
11801,Property Crimes
7749,Property Crimes
19314,Crimes against Public Order
18001,Violent Crimes
13588,Property Crimes
648,Property Crimes
3745,Property Crimes
18367,Property Crimes
10279,Property Crimes
17280,Violent Crimes
9247,Property Crimes
765,Property Crimes
17568,Property Crimes
12016,Violent Crimes
10584,Property Crimes
4114,Property Crimes
17741,Violent Crimes
15309,Property Crimes
7233,Property Crimes
10154,Crimes against Public Order
12079,Property Crimes
7869,Property Crimes
512,Property Crimes
12904,Crimes against Public Order
18097,Property Crimes
11148,Violent Crimes
3907,Crimes against Public Order
5005,Crimes against Public Order
1169,Property Crimes
10785,Property Crimes
18692,Fraud and White-Collar Crimes
4628,Crimes against Public Order
16523,Violent Crimes
9593,Crimes against Public Order
13656,Crimes against Public Order
14591,Violent Crimes
2197,Violent Crimes
17064,Violent Crimes
18712,Property Crimes
13839,Property Crimes
5853,Fraud and White-Collar Crimes
2536,Violent Crimes
17587,Property Crimes
13635,Property Crimes
18457,Property Crimes
17258,Property Crimes
7826,Violent Crimes
19990,Fraud and White-Collar Crimes
241,Violent Crimes
10434,Violent Crimes
19911,Violent Crimes
12686,Property Crimes
16752,Property Crimes
16941,Property Crimes
8921,Property Crimes
10433,Fraud and White-Collar Crimes
16301,Crimes against Public Order
9406,Fraud and White-Collar Crimes
17874,Property Crimes
19746,Property Crimes
15548,Property Crimes
6748,Violent Crimes
2374,Violent Crimes
15980,Violent Crimes
10379,Property Crimes
9972,Property Crimes
11427,Violent Crimes
10222,Violent Crimes
1575,Property Crimes
11413,Property Crimes
18014,Property Crimes
14490,Property Crimes
5264,Property Crimes
16247,Violent Crimes
13302,Violent Crimes
13531,Property Crimes
16878,Crimes against Public Order
5321,Property Crimes
18937,Crimes against Public Order
8933,Crimes against Public Order
11507,Property Crimes
6365,Property Crimes
17172,Property Crimes
5433,Violent Crimes
9710,Violent Crimes
6556,Violent Crimes
388,Property Crimes
490,Property Crimes
11001,Property Crimes
148,Fraud and White-Collar Crimes
1609,Property Crimes
5146,Property Crimes
6223,Property Crimes
2662,Crimes against Public Order
8696,Property Crimes
15519,Crimes against Public Order
4771,Property Crimes
11271,Property Crimes
7769,Property Crimes
16735,Property Crimes
17872,Crimes against Public Order
19532,Violent Crimes
2083,Fraud and White-Collar Crimes
6327,Property Crimes
7055,Property Crimes
8195,Property Crimes
2652,Property Crimes
1943,Property Crimes
9867,Property Crimes
1833,Violent Crimes
18867,Property Crimes
19058,Property Crimes
11184,Violent Crimes
796,Property Crimes
1049,Violent Crimes
3320,Property Crimes
16936,Crimes against Public Order
1561,Property Crimes
4570,Fraud and White-Collar Crimes
12804,Violent Crimes
9326,Property Crimes
8461,Property Crimes
2854,Violent Crimes
14046,Property Crimes
8544,Property Crimes
17753,Crimes against Public Order
19273,Fraud and White-Collar Crimes
10254,Property Crimes
19631,Property Crimes
16728,Property Crimes
809,Property Crimes
2360,Property Crimes
17698,Property Crimes
3571,Property Crimes
19344,Property Crimes
11229,Property Crimes
1588,Property Crimes
4747,Property Crimes
6466,Property Crimes
14367,Violent Crimes
1402,Property Crimes
4156,Property Crimes
6438,Property Crimes
1837,Property Crimes
6414,Property Crimes
748,Property Crimes
2126,Violent Crimes
2,Property Crimes
3568,Property Crimes
2875,Violent Crimes
3216,Violent Crimes
296,Property Crimes
14661,Property Crimes
17655,Property Crimes
16336,Property Crimes
9322,Property Crimes
15048,Property Crimes
14338,Crimes against Public Order
19934,Property Crimes
1836,Property Crimes
9400,Property Crimes
2753,Fraud and White-Collar Crimes
17182,Violent Crimes
14189,Crimes against Persons
3038,Property Crimes
8258,Violent Crimes
10313,Violent Crimes
1304,Property Crimes
17877,Fraud and White-Collar Crimes
9824,Property Crimes
14791,Property Crimes
12777,Violent Crimes
576,Fraud and White-Collar Crimes
19640,Property Crimes
4751,Property Crimes
1077,Property Crimes
15472,Property Crimes
19672,Violent Crimes
15624,Property Crimes
3735,Violent Crimes
9599,Violent Crimes
11340,Crimes against Public Order
9868,Property Crimes
4374,Violent Crimes
832,Other Crimes
7997,Property Crimes
19322,Violent Crimes
16799,Property Crimes
1478,Property Crimes
613,Property Crimes
7627,Fraud and White-Collar Crimes
8698,Violent Crimes
18300,Crimes against Persons
3609,Crimes against Public Order
5839,Fraud and White-Collar Crimes
4568,Property Crimes
15493,Property Crimes
3251,Property Crimes
14291,Violent Crimes
19355,Property Crimes
7192,Property Crimes
14047,Property Crimes
1365,Property Crimes
19662,Property Crimes
3645,Fraud and White-Collar Crimes
5665,Property Crimes
15931,Property Crimes
7823,Crimes against Public Order
1340,Fraud and White-Collar Crimes
18742,Fraud and White-Collar Crimes
16186,Property Crimes
14337,Property Crimes
1184,Property Crimes
15565,Property Crimes
18338,Property Crimes
17897,Violent Crimes
3984,Property Crimes
15950,Fraud and White-Collar Crimes
1288,Violent Crimes
6901,Property Crimes
4497,Fraud and White-Collar Crimes
5111,Property Crimes
17208,Violent Crimes
7595,Violent Crimes
1394,Property Crimes
7622,Property Crimes
3189,Violent Crimes
16610,Violent Crimes
13252,Property Crimes
7185,Property Crimes
5840,Property Crimes
802,Crimes against Persons
7498,Violent Crimes
11033,Property Crimes
14314,Violent Crimes
18408,Property Crimes
6225,Violent Crimes
2859,Crimes against Public Order
231,Violent Crimes
1098,Property Crimes
1952,Violent Crimes
9777,Violent Crimes
18360,Property Crimes
7614,Property Crimes
12035,Violent Crimes
5543,Property Crimes
16908,Property Crimes
11476,Crimes against Persons
10036,Property Crimes
14865,Property Crimes
394,Property Crimes
26,Property Crimes
17273,Property Crimes
5205,Other Crimes
2551,Fraud and White-Collar Crimes
13490,Property Crimes
18050,Property Crimes
13918,Property Crimes
19103,Property Crimes
8829,Fraud and White-Collar Crimes
11818,Crimes against Public Order
4455,Property Crimes
3764,Crimes against Public Order
550,Property Crimes
11756,Property Crimes
13679,Property Crimes
1454,Property Crimes
7014,Property Crimes
9988,Property Crimes
12026,Property Crimes
16457,Fraud and White-Collar Crimes
16817,Violent Crimes
19497,Property Crimes
4140,Violent Crimes
10091,Violent Crimes
4176,Violent Crimes
9014,Property Crimes
808,Violent Crimes
19026,Fraud and White-Collar Crimes
8786,Violent Crimes
12983,Property Crimes
9179,Property Crimes
2843,Property Crimes
17246,Crimes against Public Order
13869,Fraud and White-Collar Crimes
8472,Property Crimes
12389,Violent Crimes
7860,Property Crimes
7400,Violent Crimes
913,Violent Crimes
8960,Property Crimes
12648,Property Crimes
7845,Violent Crimes
19298,Property Crimes
18146,Property Crimes
5794,Violent Crimes
8067,Violent Crimes
11111,Property Crimes
9691,Violent Crimes
10420,Violent Crimes
6816,Property Crimes
1566,Violent Crimes
17419,Property Crimes
12200,Violent Crimes
17907,Property Crimes
12874,Property Crimes
3067,Violent Crimes
2975,Property Crimes
17193,Violent Crimes
2212,Property Crimes
4318,Property Crimes
10231,Other Crimes
8343,Violent Crimes
1605,Property Crimes
2132,Fraud and White-Collar Crimes
7757,Violent Crimes
13995,Property Crimes
581,Property Crimes
7438,Property Crimes
4040,Crimes against Public Order
11855,Property Crimes
7216,Violent Crimes
10917,Property Crimes
4425,Property Crimes
3820,Violent Crimes
9191,Violent Crimes
6575,Property Crimes
5611,Crimes against Public Order
2661,Property Crimes
2580,Violent Crimes
17124,Property Crimes
12477,Crimes against Persons
12350,Property Crimes
5367,Violent Crimes
19454,Property Crimes
10064,Property Crimes
14896,Property Crimes
1920,Property Crimes
1315,Crimes against Public Order
6597,Property Crimes
15244,Property Crimes
6029,Violent Crimes
1028,Property Crimes
15879,Violent Crimes
13024,Crimes against Public Order
2663,Violent Crimes
4272,Fraud and White-Collar Crimes
10498,Property Crimes
12394,Property Crimes
18675,Property Crimes
2283,Fraud and White-Collar Crimes
12996,Property Crimes
1468,Fraud and White-Collar Crimes
17549,Property Crimes
8767,Property Crimes
19192,Property Crimes
6163,Property Crimes
6339,Crimes against Public Order
1642,Property Crimes
10726,Violent Crimes
15824,Property Crimes
17552,Fraud and White-Collar Crimes
14739,Property Crimes
2157,Property Crimes
4336,Crimes against Public Order
17656,Property Crimes
1863,Property Crimes
3605,Property Crimes
17370,Violent Crimes
11695,Property Crimes
13283,Property Crimes
19317,Property Crimes
3341,Property Crimes
5375,Violent Crimes
2752,Crimes against Public Order
13935,Violent Crimes
18441,Crimes against Public Order
19056,Property Crimes
12501,Violent Crimes
6447,Property Crimes
16865,Property Crimes
3675,Crimes against Public Order
4358,Property Crimes
16952,Violent Crimes
6741,Violent Crimes
17642,Property Crimes
16990,Property Crimes
16947,Property Crimes
8566,Crimes against Public Order
5607,Crimes against Public Order
14771,Property Crimes
13159,Fraud and White-Collar Crimes
4768,Crimes against Public Order
7705,Property Crimes
10896,Crimes against Public Order
11305,Property Crimes
2595,Property Crimes
4139,Fraud and White-Collar Crimes
17964,Violent Crimes
4466,Property Crimes
14834,Property Crimes
18522,Property Crimes
11752,Property Crimes
4567,Property Crimes
8663,Property Crimes
8026,Violent Crimes
1993,Property Crimes
6274,Crimes against Public Order
7039,Violent Crimes
17535,Fraud and White-Collar Crimes
13364,Violent Crimes
13764,Violent Crimes
3687,Property Crimes
256,Property Crimes
10372,Property Crimes
6410,Property Crimes
7287,Property Crimes
10549,Violent Crimes
5715,Fraud and White-Collar Crimes
7789,Fraud and White-Collar Crimes
1453,Crimes against Public Order
12850,Violent Crimes
1322,Fraud and White-Collar Crimes
16933,Violent Crimes
14222,Crimes against Public Order
3891,Violent Crimes
13480,Property Crimes
15805,Violent Crimes
17239,Property Crimes
17100,Property Crimes
11119,Violent Crimes
17418,Violent Crimes
19236,Crimes against Public Order
75,Property Crimes
4029,Violent Crimes
4074,Violent Crimes
3435,Property Crimes
16042,Property Crimes
16960,Fraud and White-Collar Crimes
11998,Property Crimes
13798,Property Crimes
3862,Violent Crimes
14308,Property Crimes
1538,Property Crimes
3019,Fraud and White-Collar Crimes
9123,Violent Crimes
178,Violent Crimes
9645,Violent Crimes
13776,Fraud and White-Collar Crimes
18866,Property Crimes
1165,Property Crimes
12581,Crimes against Public Order
8624,Property Crimes
7237,Violent Crimes
9655,Property Crimes
5125,Violent Crimes
15157,Fraud and White-Collar Crimes
16822,Property Crimes
1792,Violent Crimes
11680,Violent Crimes
18732,Violent Crimes
9838,Violent Crimes
12055,Violent Crimes
18171,Crimes against Public Order
18301,Property Crimes
2924,Property Crimes
6633,Crimes against Public Order
11279,Violent Crimes
8659,Property Crimes
18730,Crimes against Public Order
8923,Property Crimes
18112,Property Crimes
14601,Violent Crimes
586,Violent Crimes
11000,Property Crimes
8228,Fraud and White-Collar Crimes
7809,Violent Crimes
1242,Property Crimes
13217,Violent Crimes
13644,Violent Crimes
11671,Property Crimes
6459,Property Crimes
19379,Property Crimes
13250,Fraud and White-Collar Crimes
8651,Property Crimes
2878,Property Crimes
10009,Property Crimes
2170,Property Crimes
6694,Property Crimes
7271,Property Crimes
19456,Property Crimes
11895,Property Crimes
19670,Crimes against Public Order
667,Property Crimes
13193,Crimes against Public Order
9256,Violent Crimes
829,Property Crimes
7501,Violent Crimes
4667,Property Crimes
12729,Violent Crimes
7281,Fraud and White-Collar Crimes
16466,Property Crimes
13722,Violent Crimes
7588,Crimes against Public Order
9119,Fraud and White-Collar Crimes
7768,Violent Crimes
5594,Property Crimes
15792,Violent Crimes
17645,Violent Crimes
8136,Violent Crimes
16580,Property Crimes
2409,Property Crimes
4341,Property Crimes
15134,Property Crimes
11007,Violent Crimes
1400,Violent Crimes
11631,Crimes against Public Order
3263,Property Crimes
15494,Property Crimes
10078,Property Crimes
519,Property Crimes
12657,Violent Crimes
15779,Fraud and White-Collar Crimes
17385,Property Crimes
1776,Fraud and White-Collar Crimes
3811,Violent Crimes
4038,Violent Crimes
1603,Property Crimes
5531,Crimes against Public Order
17320,Property Crimes
9654,Property Crimes
144,Property Crimes
14728,Property Crimes
5738,Property Crimes
13803,Property Crimes
1313,Property Crimes
14979,Violent Crimes
18424,Property Crimes
10302,Property Crimes
16389,Property Crimes
10693,Property Crimes
14587,Property Crimes
18370,Fraud and White-Collar Crimes
7245,Fraud and White-Collar Crimes
2034,Property Crimes
18140,Violent Crimes
9209,Property Crimes
7851,Violent Crimes
888,Violent Crimes
2949,Property Crimes
15226,Property Crimes
13482,Crimes against Public Order
9377,Property Crimes
12594,Property Crimes
3451,Property Crimes
18400,Property Crimes
2117,Property Crimes
6164,Property Crimes
6788,Crimes against Public Order
11605,Crimes against Public Order
12769,Property Crimes
15166,Property Crimes
3797,Property Crimes
12275,Property Crimes
2851,Violent Crimes
10678,Violent Crimes
1584,Property Crimes
8984,Property Crimes
5918,Fraud and White-Collar Crimes
18025,Crimes against Public Order
15642,Crimes against Persons
7762,Property Crimes
480,Property Crimes
10934,Property Crimes
11856,Fraud and White-Collar Crimes
11054,Fraud and White-Collar Crimes
1608,Violent Crimes
15201,Violent Crimes
13442,Property Crimes
19398,Violent Crimes
12443,Violent Crimes
3539,Property Crimes
1116,Property Crimes
1682,Property Crimes
5499,Crimes against Public Order
8538,Violent Crimes
11256,Property Crimes
9059,Violent Crimes
6552,Property Crimes
18641,Property Crimes
7174,Property Crimes
12333,Property Crimes
4585,Violent Crimes
12454,Violent Crimes
15947,Property Crimes
11627,Violent Crimes
16713,Property Crimes
2005,Property Crimes
14908,Property Crimes
11545,Property Crimes
12612,Property Crimes
7495,Property Crimes
6128,Property Crimes
19935,Property Crimes
17384,Property Crimes
5510,Property Crimes
16108,Property Crimes
12536,Property Crimes
14850,Violent Crimes
7144,Fraud and White-Collar Crimes
12291,Property Crimes
13578,Violent Crimes
4403,Violent Crimes
7382,Property Crimes
7835,Property Crimes
12846,Crimes against Public Order
13365,Fraud and White-Collar Crimes
10101,Property Crimes
16970,Property Crimes
12074,Violent Crimes
8165,Crimes against Public Order
3011,Crimes against Public Order
9485,Crimes against Public Order
10000,Property Crimes
17275,Property Crimes
9412,Property Crimes
5022,Property Crimes
14797,Other Crimes
4485,Property Crimes
17663,Violent Crimes
10631,Property Crimes
3728,Violent Crimes
10754,Property Crimes
4685,Violent Crimes
14116,Property Crimes
14808,Crimes against Public Order
1865,Violent Crimes
5672,Violent Crimes
5430,Property Crimes
12528,Property Crimes
1166,Property Crimes
16319,Property Crimes
12122,Crimes against Public Order
16379,Property Crimes
7117,Crimes against Public Order
6676,Property Crimes
7337,Property Crimes
6621,Property Crimes
2596,Crimes against Public Order
9409,Violent Crimes
7361,Property Crimes
8906,Crimes against Public Order
13259,Crimes against Public Order
19471,Property Crimes
18667,Property Crimes
13953,Violent Crimes
1725,Property Crimes
14580,Property Crimes
10606,Violent Crimes
368,Property Crimes
3662,Crimes against Public Order
15917,Violent Crimes
15343,Property Crimes
2679,Crimes against Public Order
6111,Property Crimes
9283,Crimes against Public Order
6894,Property Crimes
14164,Property Crimes
6735,Property Crimes
582,Property Crimes
14687,Crimes against Persons
16835,Property Crimes
3756,Violent Crimes
13440,Property Crimes
12864,Property Crimes
19316,Property Crimes
1089,Property Crimes
13978,Fraud and White-Collar Crimes
7600,Property Crimes
11181,Property Crimes
5193,Property Crimes
1771,Violent Crimes
9026,Property Crimes
6187,Property Crimes
3224,Property Crimes
17395,Violent Crimes
10203,Property Crimes
1336,Property Crimes
17644,Crimes against Public Order
10907,Property Crimes
13622,Other Crimes
5338,Property Crimes
6999,Property Crimes
3424,Property Crimes
14629,Property Crimes
6195,Property Crimes
17,Crimes against Public Order
10814,Crimes against Public Order
766,Property Crimes
12362,Property Crimes
7641,Property Crimes
5774,Property Crimes
18096,Property Crimes
9507,Property Crimes
1459,Property Crimes
9905,Fraud and White-Collar Crimes
11065,Violent Crimes
5261,Violent Crimes
4361,Violent Crimes
14875,Property Crimes
11561,Property Crimes
7243,Property Crimes
14411,Property Crimes
5601,Property Crimes
12721,Crimes against Public Order
15734,Fraud and White-Collar Crimes
13258,Property Crimes
17245,Property Crimes
12519,Property Crimes
6502,Fraud and White-Collar Crimes
5643,Property Crimes
6166,Property Crimes
6040,Property Crimes
17405,Violent Crimes
17803,Fraud and White-Collar Crimes
15487,Property Crimes
15215,Property Crimes
2627,Fraud and White-Collar Crimes
481,Property Crimes
6601,Crimes against Public Order
18869,Property Crimes
13063,Crimes against Public Order
6180,Property Crimes
16916,Crimes against Public Order
1556,Crimes against Public Order
3512,Property Crimes
142,Crimes against Public Order
3192,Fraud and White-Collar Crimes
7554,Violent Crimes
14777,Property Crimes
15700,Fraud and White-Collar Crimes
3196,Property Crimes
6422,Property Crimes
3638,Violent Crimes
13400,Fraud and White-Collar Crimes
13096,Violent Crimes
13047,Property Crimes
12208,Property Crimes
2722,Violent Crimes
9135,Property Crimes
2198,Property Crimes
12502,Violent Crimes
18481,Property Crimes
3077,Violent Crimes
11012,Property Crimes
2835,Property Crimes
1297,Property Crimes
14179,Property Crimes
9403,Fraud and White-Collar Crimes
19797,Property Crimes
16877,Property Crimes
17879,Property Crimes
12736,Property Crimes
14645,Violent Crimes
1900,Property Crimes
13714,Property Crimes
1314,Violent Crimes
19768,Violent Crimes
1043,Property Crimes
6050,Crimes against Public Order
17814,Violent Crimes
13374,Property Crimes
3660,Property Crimes
19572,Property Crimes
11415,Violent Crimes
14255,Violent Crimes
223,Property Crimes
4875,Violent Crimes
3366,Property Crimes
6399,Crimes against Public Order
4052,Property Crimes
9555,Property Crimes
19629,Property Crimes
15674,Property Crimes
13880,Property Crimes
13238,Property Crimes
11961,Fraud and White-Collar Crimes
6283,Property Crimes
18594,Violent Crimes
14275,Crimes against Public Order
15765,Fraud and White-Collar Crimes
8976,Property Crimes
18303,Property Crimes
17819,Violent Crimes
17315,Violent Crimes
8697,Other Crimes
13752,Violent Crimes
3868,Property Crimes
11925,Property Crimes
7332,Violent Crimes
17854,Property Crimes
17466,Property Crimes
19573,Property Crimes
13353,Property Crimes
13620,Violent Crimes
11373,Violent Crimes
9160,Violent Crimes
3553,Property Crimes
972,Property Crimes
8281,Violent Crimes
14939,Violent Crimes
6392,Property Crimes
8355,Violent Crimes
12676,Property Crimes
5222,Violent Crimes
189,Violent Crimes
836,Property Crimes
4398,Crimes against Public Order
10185,Property Crimes
2367,Property Crimes
12760,Crimes against Public Order
12381,Violent Crimes
1937,Property Crimes
9977,Property Crimes
5927,Violent Crimes
5961,Property Crimes
1845,Property Crimes
18065,Property Crimes
9619,Violent Crimes
16167,Property Crimes
19401,Property Crimes
5418,Violent Crimes
9903,Crimes against Public Order
3127,Property Crimes
10466,Violent Crimes
6897,Violent Crimes
15678,Property Crimes
623,Other Crimes
3708,Property Crimes
3481,Property Crimes
4635,Property Crimes
13603,Property Crimes
4982,Crimes against Public Order
15004,Property Crimes
8570,Property Crimes
17775,Fraud and White-Collar Crimes
621,Crimes against Public Order
3940,Fraud and White-Collar Crimes
19750,Violent Crimes
12185,Fraud and White-Collar Crimes
15200,Property Crimes
3776,Property Crimes
2422,Fraud and White-Collar Crimes
15088,Violent Crimes
6139,Property Crimes
15290,Violent Crimes
224,Property Crimes
10946,Property Crimes
18783,Property Crimes
11052,Property Crimes
18728,Fraud and White-Collar Crimes
14902,Violent Crimes
17546,Property Crimes
7955,Property Crimes
19602,Violent Crimes
19607,Other Crimes
17321,Violent Crimes
5479,Violent Crimes
18288,Property Crimes
5159,Property Crimes
7428,Property Crimes
3410,Property Crimes
14201,Property Crimes
19764,Property Crimes
4907,Fraud and White-Collar Crimes
17167,Property Crimes
17324,Crimes against Public Order
14885,Property Crimes
786,Property Crimes
4465,Violent Crimes
12865,Violent Crimes
15731,Fraud and White-Collar Crimes
9297,Violent Crimes
12459,Property Crimes
14328,Property Crimes
8636,Property Crimes
14250,Violent Crimes
121,Violent Crimes
1087,Property Crimes
17745,Fraud and White-Collar Crimes
8635,Property Crimes
3270,Property Crimes
7771,Violent Crimes
4992,Property Crimes
16654,Property Crimes
3136,Property Crimes
2114,Property Crimes
10844,Violent Crimes
5494,Property Crimes
10096,Property Crimes
3833,Violent Crimes
11297,Violent Crimes
1079,Property Crimes
13648,Property Crimes
6824,Property Crimes
1061,Property Crimes
5721,Fraud and White-Collar Crimes
2130,Property Crimes
13818,Property Crimes
11583,Property Crimes
14919,Violent Crimes
9554,Property Crimes
15383,Property Crimes
8457,Property Crimes
12644,Property Crimes
16624,Property Crimes
1529,Property Crimes
8706,Property Crimes
18735,Property Crimes
10587,Property Crimes
17773,Property Crimes
13209,Violent Crimes
5838,Crimes against Public Order
8268,Violent Crimes
15888,Property Crimes
7136,Property Crimes
8340,Violent Crimes
3497,Property Crimes
13325,Violent Crimes
7427,Violent Crimes
15149,Property Crimes
13739,Violent Crimes
13330,Violent Crimes
8880,Property Crimes
14619,Property Crimes
19951,Property Crimes
18113,Crimes against Public Order
2223,Violent Crimes
10221,Property Crimes
11809,Violent Crimes
9883,Fraud and White-Collar Crimes
16905,Property Crimes
18765,Property Crimes
8974,Property Crimes
6469,Property Crimes
14607,Property Crimes
11143,Property Crimes
14552,Property Crimes
10771,Crimes against Public Order
17106,Violent Crimes
4240,Property Crimes
12315,Violent Crimes
4803,Crimes against Public Order
14564,Property Crimes
2107,Crimes against Public Order
17781,Property Crimes
460,Property Crimes
10247,Fraud and White-Collar Crimes
15761,Property Crimes
895,Property Crimes
19866,Property Crimes
3983,Property Crimes
15363,Property Crimes
5166,Fraud and White-Collar Crimes
13575,Property Crimes
12953,Property Crimes
3085,Property Crimes
8238,Property Crimes
9413,Property Crimes
17523,Property Crimes
2394,Violent Crimes
11132,Property Crimes
272,Crimes against Public Order
14968,Property Crimes
10874,Property Crimes
15035,Violent Crimes
13796,Violent Crimes
9884,Violent Crimes
15593,Crimes against Public Order
8852,Property Crimes
12354,Property Crimes
17573,Property Crimes
8115,Violent Crimes
7208,Property Crimes
1808,Property Crimes
17744,Violent Crimes
1300,Property Crimes
653,Property Crimes
19815,Property Crimes
13296,Violent Crimes
8438,Violent Crimes
2068,Violent Crimes
15749,Property Crimes
14837,Property Crimes
6693,Property Crimes
11721,Property Crimes
3503,Property Crimes
18910,Property Crimes
19743,Property Crimes
17921,Property Crimes
16209,Crimes against Public Order
885,Property Crimes
19042,Property Crimes
16568,Crimes against Public Order
10014,Property Crimes
17956,Property Crimes
12881,Violent Crimes
438,Property Crimes
17909,Property Crimes
10042,Property Crimes
13630,Property Crimes
4810,Property Crimes
15029,Property Crimes
1619,Fraud and White-Collar Crimes
7920,Violent Crimes
4648,Property Crimes
8699,Property Crimes
2724,Crimes against Public Order
6376,Violent Crimes
3172,Property Crimes
5987,Violent Crimes
14906,Crimes against Persons
18230,Crimes against Public Order
6137,Crimes against Public Order
3566,Violent Crimes
6615,Property Crimes
19062,Violent Crimes
3109,Property Crimes
9573,Property Crimes
590,Crimes against Public Order
11910,Violent Crimes
4233,Property Crimes
434,Property Crimes
10622,Property Crimes
15753,Property Crimes
18884,Violent Crimes
12106,Property Crimes
13946,Crimes against Public Order
3581,Violent Crimes
4634,Property Crimes
6425,Property Crimes
4168,Property Crimes
13357,Property Crimes
6701,Property Crimes
6746,Crimes against Public Order
17341,Fraud and White-Collar Crimes
12299,Violent Crimes
15249,Property Crimes
3545,Property Crimes
8739,Violent Crimes
14207,Property Crimes
1885,Property Crimes
17588,Violent Crimes
13143,Property Crimes
10595,Property Crimes
1945,Violent Crimes
7812,Fraud and White-Collar Crimes
6367,Crimes against Public Order
3061,Property Crimes
12510,Property Crimes
19178,Property Crimes
17359,Violent Crimes
9253,Property Crimes
5083,Violent Crimes
11836,Property Crimes
10892,Violent Crimes
1154,Crimes against Public Order
7023,Property Crimes
16563,Crimes against Public Order
15772,Violent Crimes
9185,Violent Crimes
16979,Property Crimes
7168,Property Crimes
14001,Property Crimes
14548,Violent Crimes
16031,Violent Crimes
6366,Violent Crimes
8634,Violent Crimes
11903,Violent Crimes
17056,Property Crimes
15505,Crimes against Public Order
12308,Violent Crimes
6192,Property Crimes
13051,Property Crimes
5096,Crimes against Public Order
4012,Violent Crimes
7481,Property Crimes
14567,Property Crimes
15100,Violent Crimes
14539,Violent Crimes
9242,Violent Crimes
19434,Violent Crimes
13316,Property Crimes
8430,Property Crimes
3508,Crimes against Public Order
564,Property Crimes
1581,Property Crimes
11176,Property Crimes
12423,Property Crimes
10016,Property Crimes
3144,Crimes against Public Order
17677,Fraud and White-Collar Crimes
10999,Property Crimes
10068,Violent Crimes
8307,Fraud and White-Collar Crimes
14649,Property Crimes
14734,Crimes against Public Order
12329,Property Crimes
3633,Crimes against Public Order
12672,Violent Crimes
6898,Violent Crimes
9427,Property Crimes
5546,Property Crimes
18289,Property Crimes
9380,Property Crimes
11380,Property Crimes
12493,Property Crimes
2881,Property Crimes
1118,Fraud and White-Collar Crimes
16810,Violent Crimes
18516,Property Crimes
5621,Property Crimes
13891,Property Crimes
5573,Property Crimes
5941,Violent Crimes
3281,Property Crimes
6378,Property Crimes
4004,Property Crimes
4500,Property Crimes
2444,Crimes against Public Order
10799,Violent Crimes
7745,Property Crimes
9885,Property Crimes
3725,Property Crimes
3952,Violent Crimes
9796,Violent Crimes
10163,Violent Crimes
13883,Crimes against Public Order
17735,Property Crimes
11137,Violent Crimes
5244,Violent Crimes
5410,Property Crimes
4766,Property Crimes
3482,Property Crimes
15960,Property Crimes
6237,Property Crimes
6803,Crimes against Public Order
635,Fraud and White-Collar Crimes
15991,Property Crimes
17975,Violent Crimes
8644,Violent Crimes
14652,Property Crimes
15538,Property Crimes
8574,Property Crimes
8569,Violent Crimes
3371,Property Crimes
12080,Fraud and White-Collar Crimes
853,Property Crimes
1544,Violent Crimes
9530,Violent Crimes
18311,Property Crimes
5855,Fraud and White-Collar Crimes
16746,Property Crimes
6254,Property Crimes
5892,Property Crimes
1212,Property Crimes
19279,Property Crimes
19249,Violent Crimes
6492,Other Crimes
9286,Other Crimes
3832,Property Crimes
5089,Property Crimes
3323,Violent Crimes
7694,Property Crimes
15657,Violent Crimes
12028,Property Crimes
2932,Property Crimes
7917,Property Crimes
14272,Violent Crimes
351,Property Crimes
11118,Property Crimes
6239,Property Crimes
10190,Other Crimes
1447,Property Crimes
14674,Fraud and White-Collar Crimes
1789,Violent Crimes
